2023,,Time,Height,H/L
Jan,1,00:09,1.3 m,L
,,06:33,2.7 m,H
,,13:11,1.3 m,L
,,19:35,2.4 m,H
,2,01:22,1.6 m,L
,,07:20,2.7 m,H
,,14:24,1.1 m,L
,,21:18,2.4 m,H
,3,02:30,1.7 m,L
,,08:09,2.7 m,H
,,15:18,0.9 m,L
,,22:28,2.5 m,H
,4,03:26,1.8 m,L
,,08:58,2.8 m,H
,,16:01,0.7 m,L
,,23:16,2.6 m,H
,5,04:09,1.8 m,L
,,09:41,2.9 m,H
,,16:35,0.6 m,L
,,23:54,2.7 m,H
,6,04:46,1.8 m,L
,,10:22,2.9 m,H
,,17:07,0.5 m,L
,7,00:28,2.7 m,H
,,05:18,1.8 m,L
,,11:00,3.0 m,H
,,17:39,0.5 m,L
,8,00:58,2.7 m,H
,,05:52,1.7 m,L
,,11:35,3.0 m,H
,,18:13,0.5 m,L
,9,01:28,2.8 m,H
,,06:28,1.7 m,L
,,12:09,3.0 m,H
,,18:48,0.5 m,L
,10,01:58,2.7 m,H
,,07:01,1.6 m,L
,,12:43,3.0 m,H
,,19:24,0.6 m,L
,11,02:26,2.7 m,H
,,07:37,1.6 m,L
,,13:15,3.0 m,H
,,19:58,0.6 m,L
,12,02:54,2.7 m,H
,,08:13,1.5 m,L
,,13:48,2.9 m,H
,,20:28,0.7 m,L
,13,03:22,2.7 m,H
,,08:48,1.5 m,L
,,14:26,2.8 m,H
,,20:58,0.9 m,L
,14,03:54,2.7 m,H
,,09:30,1.5 m,L
,,15:13,2.6 m,H
,,21:31,1.0 m,L
,15,04:30,2.6 m,H
,,10:26,1.4 m,L
,,16:16,2.4 m,H
,,22:15,1.3 m,L
,16,05:15,2.6 m,H
,,11:37,1.3 m,L
,,17:46,2.2 m,H
,,23:15,1.5 m,L
,17,06:05,2.7 m,H
,,12:54,1.1 m,L
,,19:48,2.2 m,H
,18,00:41,1.7 m,L
,,07:03,2.7 m,H
,,14:03,0.9 m,L
,,21:41,2.4 m,H
,19,02:09,1.8 m,L
,,08:05,2.8 m,H
,,15:01,0.6 m,L
,,22:45,2.6 m,H
,20,03:20,1.9 m,L
,,09:07,2.9 m,H
,,15:52,0.4 m,L
,,23:35,2.8 m,H
,21,04:20,1.8 m,L
,,10:01,3.1 m,H
,,16:43,0.2 m,L
,22,00:22,2.9 m,H
,,05:13,1.7 m,L
,,10:54,3.2 m,H
,,17:35,0.1 m,L
,23,01:05,3.0 m,H
,,06:05,1.6 m,L
,,11:43,3.3 m,H
