DC2T7H,2022-11-13 06:00:00,13,11,2022,06:00,3 4 5,,GR,164511,TA,L
QQ2F3C,2023-10-30 21:00:00,30,10,2023,21:00,1,,CN,4214,CH,L
DC2T7H,2023-11-24 14:15:00,24,11,2023,14:15,1 3,,CN,64573,TA,L
DC2T7H,2022-12-10 15:00:00,10,12,2022,15:00,1 3 4 0,NKK Surveyor and Technician for CHG Test  and Taking provision,,42092,,L
DC2T7H,2022-06-08 13:00:00,8,6,2022,13:00,4 6,,LR,27987,TA,L
WE8I3W,2023-01-30 23:00:00,30,1,2023,23:00,3,,PK,58168,TA,H
PR0U3J,2022-04-24 02:00:00,24,4,2022,02:00,1 3 4,,SG,5589,TA,L
DC2T7H,2023-03-15 19:00:00,15,3,2023,19:00,3 4 5,,PK,58168,TA,L
DC2T7H,2022-01-07 12:00:00,7,1,2022,12:00,3,,SG,6961,TA,L
DC2T7H,2023-07-30 08:00:00,30,7,2023,08:00,4 7,,CM,28981,TA,L
QM8S0I,2024-03-23 10:00:00,23,3,2024,10:00,3,,ID,5483,TA,H
DC2T7H,2023-09-11 13:00:00,11,9,2023,13:00,3,-,TH,2023,TA,L
UT2B7J,2024-02-15 08:00:00,15,2,2024,08:00,3 4 5 7,,LR,116299,LN,L
QM8S0I,2023-07-02 11:30:00,2,7,2023,11:30,3 4 5,,MT,105943,LN,H
PR0U3J,2022-07-24 11:00:00,24,7,2022,11:00,1 3 4,N/A,GR,161287,TA,L
UT2B7J,2024-01-16 06:00:00,16,1,2024,06:00,3 4 5,,LR,17139,CH,H
PR0U3J,2023-06-29 07:00:00,29,6,2023,07:00,3 4,,LR,16442,CH,L
PR0U3J,2024-01-31 12:00:00,31,1,2024,12:00,3 4 5 7,,LR,11580,TA,L
PR0U3J,2023-09-10 08:00:00,10,9,2023,08:00,3 4 5,,MH,8627,CH,L
UT2B7J,2022-08-11 09:00:00,11,8,2022,09:00,2 3 4,,PA,18733,CH,H
WE8I3W,2023-07-14 06:00:00,14,7,2023,06:00,3,,KR,7218,CH,L
PR0U3J,2022-09-13 18:00:00,13,9,2022,18:00,1 3 4,NIL,MH,29354,TA,H
VC2O2C,2023-06-18 08:00:00,18,6,2023,08:00,3 4 5,N/A,LR,30259,CH,H
QM8S0I,2022-10-16 08:00:00,16,10,2022,08:00,1,,PA,5707,CH,L
QM8S0I,2023-08-18 15:00:00,18,8,2023,15:00,3 4 5,,SA,29234,CH,H
DC2T7H,2024-02-10 09:00:00,10,2,2024,09:00,3 4 5 0,Disposal of domestic garbage,SG,23676,TA,H
UT2B7J,2023-07-17 12:00:00,17,7,2023,12:00,3 4 5,,SG,11751,TA,L
IB8K3I,2023-03-02 12:00:00,2,3,2023,12:00,1,,CN,4214,CH,H
QM8S0I,2023-11-18 09:00:00,18,11,2023,09:00,1,,PA,4304,LP,H
QM8S0I,2023-10-19 23:00:00,19,10,2023,23:00,3,,PA,4304,LP,H
UT2B7J,2023-11-18 12:00:00,18,11,2023,12:00,3 4 5,,SA,29168,CH,H
PR0U3J,2022-09-05 11:30:00,5,9,2022,11:30,3 4 0,SHORE ANNUAL SERVICE/TECHNICIAN ATTENDANCE,HK,19968,CH,L
PR0U3J,2023-10-12 17:00:00,12,10,2023,17:00,3 4 5,,SA,29736,CH,L
PR0U3J,2023-10-13 18:00:00,13,10,2023,18:00,3,,PA,18734,CH,L
VH1U7T,2022-11-17 01:00:00,17,11,2022,01:00,1 3 4 5,,MH,17862,CH,H
LS4I3U,2023-04-21 00:01:00,21,4,2023,00:01,3 4 5,,LR,12145,CH,H
PR0U3J,2023-05-24 23:00:00,24,5,2023,23:00,3 5,,KR,7218,CH,L
PR0U3J,2023-07-01 14:00:00,1,7,2023,14:00,1 3 4 5,,LR,85362,TA,H
KZ3Z9A,2024-01-10 11:00:00,10,1,2024,11:00,3,,MH,29549,CH,H
FU4A2S,2024-01-22 15:00:00,22,1,2024,15:00,1 3 4 5,,MH,159962,TA,H
CG8F2B,2024-02-21 00:05:00,21,2,2024,00:05,1,,SG,2067,TA,H
CG8F2B,2024-02-24 07:15:00,24,2,2024,07:15,1,,SG,2067,TA,H
CG8F2B,2024-02-27 12:15:00,27,2,2024,12:15,1,,SG,2067,TA,L
CG8F2B,2024-03-04 08:00:00,4,3,2024,08:00,1,,SG,2067,TA,H
OG0X0L,2023-04-05 12:30:00,5,4,2023,12:30,3 4 5,,LR,61237,TA,H
QM8S0I,2022-06-25 06:00:00,25,6,2022,06:00,4 5,,PA,48858,LP,L
