DC2T7H,2022-11-13 06:00:00,13,11,2022,06:00,3 4 5,,GR,164511,TA
QQ2F3C,2023-10-30 21:00:00,30,10,2023,21:00,1,,CN,4214,CH
DC2T7H,2023-11-24 14:15:00,24,11,2023,14:15,1 3,,CN,64573,TA
